,latitude,longitude,july_min,jan_max,prec,evap,soil,wind
182,-33.88416667,22.428,7.26,30.83,348.05,0.08,0.43,2.07
183,-33.97366667,21.23516667,2.65,37.4,326.95,0.03,0.41,4.69
184,-33.94316667,20.7365,2.62,36.51,290.04,0.03,0.41,4.58
185,-33.88066667,22.429,7.26,30.83,348.05,0.08,0.43,2.07
186,-33.964,21.6275,4.23,35.73,305.86,0.03,0.41,4.22
187,-33.9085,21.9575,4.23,35.73,305.86,0.03,0.41,4.22
188,-33.93083333,21.83783333,4.23,35.73,305.86,0.03,0.41,4.22
189,-33.86133333,21.97316667,4.23,35.73,305.86,0.03,0.41,4.22
190,-33.86583333,21.957,4.23,35.73,305.86,0.03,0.41,4.22
191,-33.94733333,21.1065,2.65,37.4,326.95,0.03,0.41,4.69
192,-33.84466667,21.98233333,4.23,35.73,305.86,0.03,0.41,4.22
193,-33.87583333,22.38833333,7.26,30.83,348.05,0.08,0.43,2.07
194,-33.94783333,20.407,2.62,36.51,290.04,0.03,0.41,4.58
195,-33.96733333,20.85,2.62,36.51,290.04,0.03,0.41,4.58
196,-34.06583333,20.015,1.82,38.84,427.15,0.1,0.43,4.03
197,-33.87316667,22.0325,4.23,35.73,305.86,0.03,0.41,4.22
198,-33.9515,21.15866667,2.65,37.4,326.95,0.03,0.41,4.69
199,-33.95583333,21.21333333,2.65,37.4,326.95,0.03,0.41,4.69
200,-33.86116667,21.965,4.23,35.73,305.86,0.03,0.41,4.22
201,-33.96966667,21.30266667,2.65,37.4,326.95,0.03,0.41,4.69
202,-33.8865,22.4565,7.26,30.83,348.05,0.08,0.43,2.07
203,-33.95566667,21.22183333,2.65,37.4,326.95,0.03,0.41,4.69
204,-33.9575,21.22966667,2.65,37.4,326.95,0.03,0.41,4.69
205,-33.8835,22.00233333,4.23,35.73,305.86,0.03,0.41,4.22
206,-33.90983333,20.84616667,2.62,36.51,290.04,0.03,0.41,4.58
207,-33.92483333,20.8565,2.62,36.51,290.04,0.03,0.41,4.58
208,-33.95716667,21.216,2.65,37.4,326.95,0.03,0.41,4.69
209,-33.95616667,21.213,2.65,37.4,326.95,0.03,0.41,4.69
210,-33.95583333,21.21183333,2.65,37.4,326.95,0.03,0.41,4.69
211,-33.87566667,22.0395,4.23,35.73,305.86,0.03,0.41,4.22
212,-33.968,21.3015,2.65,37.4,326.95,0.03,0.41,4.69
213,-33.97083333,21.30083333,2.65,37.4,326.95,0.03,0.41,4.69
214,-33.96916667,21.3025,2.65,37.4,326.95,0.03,0.41,4.69
215,-33.906,22.08166667,4.23,35.73,305.86,0.03,0.41,4.22
216,-33.8875,22.0025,4.23,35.73,305.86,0.03,0.41,4.22
217,-33.83366667,21.89566667,4.23,35.73,305.86,0.03,0.41,4.22
218,-34.004,19.574,1.57,36.73,458.79,0.16,0.45,3.73
219,-33.86716667,22.307,7.26,30.83,348.05,0.08,0.43,2.07
220,-34.07583333,19.77833333,1.82,38.84,427.15,0.1,0.43,4.03
221,-33.836,21.88816667,4.23,35.73,305.86,0.03,0.41,4.22
222,-33.73866667,19.986,-1.1,36.98,622.27,0.15,0.55,3.74
223,-34.06833333,19.73,1.82,38.84,427.15,0.1,0.43,4.03
224,-33.86083333,22.03416667,4.23,35.73,305.86,0.03,0.41,4.22
225,-33.94916667,21.125,2.65,37.4,326.95,0.03,0.41,4.69
226,-34.0175,19.6125,1.57,36.73,458.79,0.16,0.45,3.73
