OBS,Latitude,Longitude
GYC94070807,34.05366667,18.86883333
WEL95072601,32.70833333,27.71
AGRY0010706,34.42933333,19.63666667
TLEY0112613,34.05833333,18.87433333
AMMY2021509,33.573,18.79566667
AGR92040701,33.97883333,19.28166667
AGR95101506,33.8405,18.63133333
AGR98082002,33.719,19.08433333
LYM98081903,33.89416667,18.89716667
AGR91122601,34.06433333,19.04733333
FEA96051201,34.32216667,18.96666667
KEXY0081201,33.33866667,26.4635
NGF98101903,34.052,18.87533333
WMP98050101,33.76583333,19.14833333
TLEY0112602,34.05433333,18.87016667
PVR93053104,33.9445,18.449
GYC94052601,34.05183333,18.87583333
GYC94070804,34.05083333,18.86833333
JID95030702,34.0675,19.04783333
TLE99040410,34.05133333,18.875
CVV95050102,34.4275,19.62833333
AGR96021107,33.992,18.428
AGRY0010801,34.43633333,19.62116667
AGRY0010815,34.43016667,19.62616667
LCM93010701,34.02116667,18.41766667
OUTY0012208,33.95616667,21.21333333
WIJ92050106,33.88166667,22.43
VJK95031004,33.941,20.699
OUT96100507,33.91083333,21.815
SHS93050504,33.913,21.95216667
AJT94042001,34.32183333,18.96516667
AGRY0011602,33.9825,18.43283333
SHS93040701,33.86166667,21.9645
JBB98041205,33.91216667,20.86983333
NAH99050802,33.96133333,21.7285
NAH99050806,33.94683333,21.73116667
SHS93042803,33.88566667,21.985
LYM98040504,33.85133333,21.9785
OUT95082601,33.868,22.3075
WIJ92050203,33.87,22.31166667
IVM98040301,33.87566667,22.30483333
WMP98040301,33.87716667,22.30866667
AGR98102913,33.87033333,22.31083333
AGRY0060208,34.03666667,19.3775
AGRY1030739,33.98733333,21.48383333
WEL94030602,33.9225,20.857
SHS93042801,33.8865,22.00583333
DOA93022703,33.8765,22.308
SHS93021702,33.91933333,22.01766667
CRU95021501,33.9275,20.858
AWA95031501,34.00983333,19.69616667
SAS98040503,33.86166667,21.9705
SHS93021703,33.9235,22.01283333
OUT94012204,33.885,21.9675
