,latitude,longitude,july_min,jan_max,prec,evap,soil,wind
263,-33.97066667,18.39633333,11.12,25.9,374.41,0.22,0.34,3.64
264,-34.00233333,18.3725,11.12,25.9,374.41,0.22,0.34,3.64
265,-34.00183333,18.4075,11.12,25.9,374.41,0.22,0.34,3.64
266,-33.95566667,18.4405,6.06,33.55,506.25,0.19,0.45,3.49
267,-33.955,18.43533333,11.12,25.9,374.41,0.22,0.34,3.64
268,-34.0775,18.392,11.12,25.9,374.41,0.22,0.34,3.64
269,-34.32216667,19.00583333,10.17,24.48,474.61,0.22,0.42,3.61
270,-33.9855,18.41733333,11.12,25.9,374.41,0.22,0.34,3.64
271,-34.11666667,18.43333333,11.12,25.9,374.41,0.22,0.34,3.64
272,-33.92866667,18.98916667,6.06,33.55,506.25,0.19,0.45,3.49
273,-34.225,18.45066667,6.06,33.55,506.25,0.19,0.45,3.49
274,-34.2465,18.4675,6.06,33.55,506.25,0.19,0.45,3.49
275,-34.0985,18.43616667,11.12,25.9,374.41,0.22,0.34,3.64
276,-34.31733333,18.99983333,10.17,24.48,474.61,0.22,0.42,3.61
277,-34.30716667,18.97466667,10.17,24.48,474.61,0.22,0.42,3.61
278,-34.31433333,18.99983333,10.17,24.48,474.61,0.22,0.42,3.61
279,-33.93583333,20.90333333,2.62,36.51,290.04,0.03,0.41,4.58
280,-33.92833333,20.90316667,2.62,36.51,290.04,0.03,0.41,4.58
281,-33.92333333,20.88,2.62,36.51,290.04,0.03,0.41,4.58
282,-34.22166667,18.428,11.12,25.9,374.41,0.22,0.34,3.64
283,-33.84816667,23.66166667,8.42,29.69,390.23,0.17,0.44,2.8
284,-33.99916667,18.41166667,11.12,25.9,374.41,0.22,0.34,3.64
285,-33.95416667,19.14833333,1.57,36.73,458.79,0.16,0.45,3.73
286,-33.85816667,22.28766667,7.26,30.83,348.05,0.08,0.43,2.07
287,-33.965,21.19583333,2.65,37.4,326.95,0.03,0.41,4.69
288,-33.40666667,19.67,0.23,36.51,527.34,0.21,0.47,3.48
289,-33.78833333,19.11833333,1.57,36.73,458.79,0.16,0.45,3.73
290,-33.93833333,20.8205,2.62,36.51,290.04,0.03,0.41,4.58
291,-34.39583333,19.27916667,6.87,29.51,363.87,0.14,0.41,3.67
292,-34.25416667,19.13333333,6.87,29.51,363.87,0.14,0.41,3.67
293,-34.225,18.4375,6.06,33.55,506.25,0.19,0.45,3.49
294,-34.22833333,18.45,6.06,33.55,506.25,0.19,0.45,3.49
295,-34.19583333,19.19,1.57,36.73,458.79,0.16,0.45,3.73
296,-34.19366667,19.186,1.57,36.73,458.79,0.16,0.45,3.73
297,-34.24633333,18.46883333,6.06,33.55,506.25,0.19,0.45,3.49
298,-34.2275,18.45566667,6.06,33.55,506.25,0.19,0.45,3.49
299,-34.22366667,18.4535,6.06,33.55,506.25,0.19,0.45,3.49
300,-34.21866667,18.45316667,6.06,33.55,506.25,0.19,0.45,3.49
301,-34.34583333,18.92666667,10.17,24.48,474.61,0.22,0.42,3.61
302,-34.22683333,18.44166667,6.06,33.55,506.25,0.19,0.45,3.49
303,-34.1095,18.97383333,6.06,33.55,506.25,0.19,0.45,3.49
304,-34.1315,18.949,6.06,33.55,506.25,0.19,0.45,3.49
305,-33.9735,21.2645,2.65,37.4,326.95,0.03,0.41,4.69
306,-33.97583333,21.2705,2.65,37.4,326.95,0.03,0.41,4.69
307,-34.32933333,18.9225,10.17,24.48,474.61,0.22,0.42,3.61
308,-34.34466667,18.92816667,10.17,24.48,474.61,0.22,0.42,3.61
309,-34.38533333,19.28483333,6.87,29.51,363.87,0.14,0.41,3.67
310,-33.99683333,18.41016667,11.12,25.9,374.41,0.22,0.34,3.64
311,-34.10133333,19.86283333,1.82,38.84,427.15,0.1,0.43,4.03
312,-33.97966667,18.38816667,11.12,25.9,374.41,0.22,0.34,3.64
313,-33.9945,18.379,11.12,25.9,374.41,0.22,0.34,3.64
314,-33.97766667,18.38916667,11.12,25.9,374.41,0.22,0.34,3.64
315,-33.98466667,18.42233333,11.12,25.9,374.41,0.22,0.34,3.64
316,-33.98316667,18.41966667,11.12,25.9,374.41,0.22,0.34,3.64
317,-34.07533333,18.38833333,11.12,25.9,374.41,0.22,0.34,3.64
318,-34.07283333,18.37966667,11.12,25.9,374.41,0.22,0.34,3.64
319,-33.98833333,20.57833333,2.62,36.51,290.04,0.03,0.41,4.58
320,-34.22166667,18.43166667,11.12,25.9,374.41,0.22,0.34,3.64
321,-34.03483333,18.38333333,11.12,25.9,374.41,0.22,0.34,3.64
322,-33.9725,19.36233333,1.57,36.73,458.79,0.16,0.45,3.73
323,-33.96483333,18.405,11.12,25.9,374.41,0.22,0.34,3.64
